year,city,state,city_tier,population_approx,median_salary_gross_usd_monthly,median_salary_net_usd_monthly,median_salary_gross_usd_annual,national_median_gross_usd_monthly,national_median_gross_usd_annual,national_mean_gross_usd_monthly,fed_min_wage_usd_hourly,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_usd,rent_1br_outside_center_usd,meal_cheap_restaurant_usd,groceries_monthly_usd,public_transport_monthly_usd,est_monthly_cost_single_usd,affordability_ratio,rent_to_income_pct,data_source
2020,New York City,New York,megalopolis,8300000,4883,3565,58596,3496,41950,4692,7.25,1.397,1.2,99.2,3006,2208,18,477,108,3277,1.09,45.2,numbeo
2021,New York City,New York,megalopolis,8300000,5137,3750,61644,3813,45760,4855,7.25,1.347,4.7,99.9,3338,2480,19,517,109,3616,1.04,48.3,numbeo
2022,New York City,New York,megalopolis,8300000,5288,3860,63456,3859,46310,5158,7.25,1.37,8.0,100.2,3711,2675,21,544,126,3905,0.99,50.6,numbeo
2023,New York City,New York,megalopolis,8300000,5707,4166,68484,4005,48060,5456,7.25,1.425,4.1,99.4,3735,2662,22,573,130,3951,1.05,46.6,numbeo
2024,New York City,New York,megalopolis,8300000,5969,4357,71628,4167,50000,5660,7.25,1.432,2.9,99.5,3893,2672,22,586,129,3977,1.1,44.8,numbeo
2010,Brooklyn,New York,megalopolis,2600000,4616,3370,55392,2820,33840,3622,7.25,1.637,1.6,92.1,2651,1928,16,424,89,2865,1.18,41.8,bls_modeled
2011,Brooklyn,New York,megalopolis,2600000,4806,3508,57672,2872,34460,3701,7.25,1.673,3.2,92.2,2843,1983,16,444,92,2947,1.19,41.3,bls_modeled
2012,Brooklyn,New York,megalopolis,2600000,4725,3449,56700,2896,34750,3769,7.25,1.632,2.1,93.7,2758,2116,16,436,94,3076,1.12,44.8,bls_modeled
2013,Brooklyn,New York,megalopolis,2600000,4764,3478,57168,2923,35080,3870,7.25,1.63,1.5,93.3,2771,2047,17,455,99,3053,1.14,43.0,bls_modeled
2014,Brooklyn,New York,megalopolis,2600000,5021,3665,60252,2962,35540,3936,7.25,1.695,1.6,93.8,2966,2038,16,439,100,3010,1.22,40.6,bls_modeled
2015,Brooklyn,New York,megalopolis,2600000,4983,3638,59796,3017,36200,4027,7.25,1.652,0.1,95.0,2791,2223,17,441,99,3216,1.13,44.6,bls_modeled
2016,Brooklyn,New York,megalopolis,2600000,5030,3672,60360,3087,37040,4136,7.25,1.629,1.3,95.5,2815,2104,17,466,100,3125,1.18,41.8,bls_modeled
2017,Brooklyn,New York,megalopolis,2600000,5105,3727,61260,3141,37690,4218,7.25,1.625,2.1,95.0,3098,2156,17,477,100,3190,1.17,42.2,bls_modeled
2018,Brooklyn,New York,megalopolis,2600000,5325,3887,63900,3220,38640,4330,7.25,1.654,2.4,96.5,3153,2218,17,462,104,3244,1.2,41.7,bls_modeled
2019,Brooklyn,New York,megalopolis,2600000,5693,4156,68316,3318,39810,4458,7.25,1.716,1.8,97.1,3067,2321,19,501,104,3428,1.21,40.8,bls_modeled
2020,Brooklyn,New York,megalopolis,2600000,5787,4225,69444,3496,41950,4692,7.25,1.655,1.2,97.2,3111,2369,19,493,107,3473,1.22,40.9,bls_modeled
2021,Brooklyn,New York,megalopolis,2600000,6343,4630,76116,3813,45760,4855,7.25,1.664,4.7,97.1,3369,2498,19,510,115,3633,1.27,39.4,bls_modeled
2022,Brooklyn,New York,megalopolis,2600000,6750,4928,81000,3859,46310,5158,7.25,1.749,8.0,97.3,3486,2697,20,574,121,3932,1.25,40.0,bls_modeled
2023,Brooklyn,New York,megalopolis,2600000,6709,4898,80508,4005,48060,5456,7.25,1.675,4.1,97.8,3622,2686,21,593,123,3968,1.23,40.0,bls_modeled
2024,Brooklyn,New York,megalopolis,2600000,6911,5045,82932,4167,50000,5660,7.25,1.659,2.9,98.1,3775,2921,21,613,128,4232,1.19,42.3,bls_modeled
2010,Queens,New York,city_large,2300000,3891,2840,46692,2820,33840,3622,7.25,1.38,1.6,71.9,1168,795,12,305,53,1497,1.9,20.4,bls_modeled
2011,Queens,New York,city_large,2300000,3992,2914,47904,2872,34460,3701,7.25,1.39,3.2,72.9,1147,866,12,318,57,1589,1.83,21.7,bls_modeled
2012,Queens,New York,city_large,2300000,4069,2970,48828,2896,34750,3769,7.25,1.405,2.1,72.6,1221,907,12,335,59,1651,1.8,22.3,bls_modeled
2013,Queens,New York,city_large,2300000,4075,2975,48900,2923,35080,3870,7.25,1.394,1.5,72.1,1207,852,12,325,60,1589,1.87,20.9,bls_modeled
2014,Queens,New York,city_large,2300000,4190,3059,50280,2962,35540,3936,7.25,1.415,1.6,73.7,1193,877,12,345,62,1637,1.87,20.9,bls_modeled
2015,Queens,New York,city_large,2300000,4224,3084,50688,3017,36200,4027,7.25,1.4,0.1,74.0,1229,865,12,350,60,1628,1.89,20.5,bls_modeled
2016,Queens,New York,city_large,2300000,4293,3134,51516,3087,37040,4136,7.25,1.391,1.3,73.3,1185,937,12,357,61,1710,1.83,21.8,bls_modeled
2017,Queens,New York,city_large,2300000,4397,3210,52764,3141,37690,4218,7.25,1.4,2.1,73.4,1268,979,12,357,62,1755,1.83,22.3,bls_modeled
2018,Queens,New York,city_large,2300000,4780,3489,57360,3220,38640,4330,7.25,1.484,2.4,75.2,1291,976,13,373,62,1791,1.95,20.4,bls_modeled
2019,Queens,New York,city_large,2300000,4683,3419,56196,3318,39810,4458,7.25,1.411,1.8,74.7,1329,1015,13,381,67,1845,1.85,21.7,bls_modeled
2020,Queens,New York,city_large,2300000,5200,3796,62400,3496,41950,4692,7.25,1.487,1.2,74.7,1291,1023,14,380,67,1874,2.03,19.7,bls_modeled
2021,Queens,New York,city_large,2300000,5669,4138,68028,3813,45760,4855,7.25,1.487,4.7,74.9,1428,1023,14,393,68,1894,2.18,18.0,bls_modeled
2022,Queens,New York,city_large,2300000,5823,4251,69876,3859,46310,5158,7.25,1.509,8.0,75.6,1493,1122,15,426,74,2062,2.06,19.3,bls_modeled
2023,Queens,New York,city_large,2300000,5994,4376,71928,4005,48060,5456,7.25,1.497,4.1,75.3,1559,1127,16,431,78,2102,2.08,18.8,bls_modeled
2024,Queens,New York,city_large,2300000,6038,4408,72456,4167,50000,5660,7.25,1.449,2.9,76.8,1588,1251,16,450,77,2248,1.96,20.7,bls_modeled
2010,Bronx,New York,city_large,1400000,3973,2900,47676,2820,33840,3622,7.25,1.409,1.6,72.0,1075,851,11,310,55,1540,1.88,21.4,bls_modeled
2011,Bronx,New York,city_large,1400000,3941,2877,47292,2872,34460,3701,7.25,1.372,3.2,72.3,1125,823,11,316,57,1524,1.89,20.9,bls_modeled
2012,Bronx,New York,city_large,1400000,4029,2941,48348,2896,34750,3769,7.25,1.391,2.1,71.9,1223,893,12,340,61,1644,1.79,22.2,bls_modeled
2013,Bronx,New York,city_large,1400000,4101,2994,49212,2923,35080,3870,7.25,1.403,1.5,73.2,1158,934,11,338,60,1664,1.8,22.8,bls_modeled
2014,Bronx,New York,city_large,1400000,4252,3104,51024,2962,35540,3936,7.25,1.436,1.6,73.9,1190,879,12,327,61,1620,1.92,20.7,bls_modeled
2015,Bronx,New York,city_large,1400000,4260,3110,51120,3017,36200,4027,7.25,1.412,0.1,74.0,1154,900,12,341,59,1653,1.88,21.1,bls_modeled
2016,Bronx,New York,city_large,1400000,4477,3268,53724,3087,37040,4136,7.25,1.45,1.3,73.1,1234,927,12,341,63,1686,1.94,20.7,bls_modeled
2017,Bronx,New York,city_large,1400000,4664,3405,55968,3141,37690,4218,7.25,1.485,2.1,73.6,1193,943,12,338,61,1699,2.0,20.2,bls_modeled
2018,Bronx,New York,city_large,1400000,4516,3297,54192,3220,38640,4330,7.25,1.402,2.4,73.6,1334,983,13,349,66,1778,1.85,21.8,bls_modeled
2019,Bronx,New York,city_large,1400000,4881,3563,58572,3318,39810,4458,7.25,1.471,1.8,74.9,1363,941,14,357,66,1766,2.02,19.3,bls_modeled
2020,Bronx,New York,city_large,1400000,5233,3820,62796,3496,41950,4692,7.25,1.497,1.2,75.7,1327,1033,14,359,69,1865,2.05,19.7,bls_modeled
2021,Bronx,New York,city_large,1400000,5761,4206,69132,3813,45760,4855,7.25,1.511,4.7,75.2,1427,1061,14,393,71,1935,2.17,18.4,bls_modeled
2022,Bronx,New York,city_large,1400000,5575,4070,66900,3859,46310,5158,7.25,1.445,8.0,76.0,1526,1072,15,415,77,2004,2.03,19.2,bls_modeled
2023,Bronx,New York,city_large,1400000,5956,4348,71472,4005,48060,5456,7.25,1.487,4.1,75.7,1620,1113,16,438,77,2094,2.08,18.7,bls_modeled
2024,Bronx,New York,city_large,1400000,5996,4377,71952,4167,50000,5660,7.25,1.439,2.9,76.1,1612,1199,15,460,77,2186,2.0,20.0,bls_modeled
2010,Buffalo,New York,city_medium,278000,2374,1733,28488,2820,33840,3622,7.25,0.842,1.6,60.5,806,669,9,279,47,1279,1.35,28.2,numbeo
2011,Buffalo,New York,city_medium,278000,2475,1807,29700,2872,34460,3701,7.25,0.862,3.2,60.2,845,679,10,290,47,1324,1.36,27.4,numbeo
2012,Buffalo,New York,city_medium,278000,2505,1829,30060,2896,34750,3769,7.25,0.865,2.1,61.2,874,692,11,281,47,1350,1.35,27.6,numbeo
2013,Buffalo,New York,city_medium,278000,2418,1765,29016,2923,35080,3870,7.25,0.827,1.5,60.8,902,731,10,289,50,1382,1.28,30.2,numbeo
2014,Buffalo,New York,city_medium,278000,2604,1901,31248,2962,35540,3936,7.25,0.879,1.6,61.5,863,703,11,294,50,1380,1.38,27.0,numbeo
2015,Buffalo,New York,city_medium,278000,2562,1870,30744,3017,36200,4027,7.25,0.849,0.1,61.2,877,746,10,296,51,1406,1.33,29.1,numbeo
2016,Buffalo,New York,city_medium,278000,2744,2003,32928,3087,37040,4136,7.25,0.889,1.3,61.7,912,749,11,292,52,1428,1.4,27.3,numbeo
2017,Buffalo,New York,city_medium,278000,2700,1971,32400,3141,37690,4218,7.25,0.86,2.1,61.8,923,746,11,304,50,1437,1.37,27.6,numbeo
2018,Buffalo,New York,city_medium,278000,2805,2048,33660,3220,38640,4330,7.25,0.871,2.4,62.7,1003,778,12,311,54,1503,1.36,27.7,numbeo
2019,Buffalo,New York,city_medium,278000,2865,2091,34380,3318,39810,4458,7.25,0.863,1.8,62.3,973,771,12,327,54,1514,1.38,26.9,numbeo
2020,Buffalo,New York,city_medium,278000,3103,2265,37236,3496,41950,4692,7.25,0.888,1.2,61.6,1030,797,12,318,55,1534,1.48,25.7,numbeo
2021,Buffalo,New York,city_medium,278000,3358,2451,40296,3813,45760,4855,7.25,0.881,4.7,63.0,1009,848,12,349,57,1624,1.51,25.3,numbeo
2022,Buffalo,New York,city_medium,278000,3424,2500,41088,3859,46310,5158,7.25,0.887,8.0,61.9,1121,930,13,360,63,1753,1.43,27.2,numbeo
2023,Buffalo,New York,city_medium,278000,3482,2542,41784,4005,48060,5456,7.25,0.869,4.1,63.4,1209,908,13,365,62,1741,1.46,26.1,numbeo
2024,Buffalo,New York,city_medium,278000,3757,2743,45084,4167,50000,5660,7.25,0.902,2.9,63.0,1145,961,14,383,67,1841,1.49,25.6,numbeo
2010,Rochester,New York,city_medium,211000,2590,1891,31080,2820,33840,3622,7.25,0.918,1.6,60.9,849,646,10,269,45,1264,1.5,24.9,numbeo
2011,Rochester,New York,city_medium,211000,2604,1901,31248,2872,34460,3701,7.25,0.907,3.2,60.9,894,695,10,283,47,1333,1.43,26.7,numbeo
2012,Rochester,New York,city_medium,211000,2606,1902,31272,2896,34750,3769,7.25,0.9,2.1,60.0,916,678,10,294,49,1331,1.43,26.0,numbeo
2013,Rochester,New York,city_medium,211000,2625,1916,31500,2923,35080,3870,7.25,0.898,1.5,61.7,881,682,10,291,48,1333,1.44,26.0,numbeo
2014,Rochester,New York,city_medium,211000,2746,2005,32952,2962,35540,3936,7.25,0.927,1.6,61.0,924,707,11,299,48,1387,1.45,25.7,numbeo
2015,Rochester,New York,city_medium,211000,2806,2048,33672,3017,36200,4027,7.25,0.93,0.1,61.3,868,687,11,306,48,1374,1.49,24.5,numbeo
2016,Rochester,New York,city_medium,211000,2823,2061,33876,3087,37040,4136,7.25,0.914,1.3,62.0,906,755,11,299,52,1441,1.43,26.7,numbeo
2017,Rochester,New York,city_medium,211000,2922,2133,35064,3141,37690,4218,7.25,0.93,2.1,62.1,930,777,11,301,49,1464,1.46,26.6,numbeo
2018,Rochester,New York,city_medium,211000,3056,2231,36672,3220,38640,4330,7.25,0.949,2.4,62.0,986,799,12,324,53,1536,1.45,26.1,numbeo
2019,Rochester,New York,city_medium,211000,3087,2254,37044,3318,39810,4458,7.25,0.93,1.8,62.8,972,792,12,309,51,1514,1.49,25.7,numbeo
2020,Rochester,New York,city_medium,211000,3244,2368,38928,3496,41950,4692,7.25,0.928,1.2,62.0,991,801,11,328,53,1526,1.55,24.7,numbeo
2021,Rochester,New York,city_medium,211000,3699,2700,44388,3813,45760,4855,7.25,0.97,4.7,62.2,1044,830,12,328,55,1583,1.71,22.4,numbeo
2022,Rochester,New York,city_medium,211000,3659,2671,43908,3859,46310,5158,7.25,0.948,8.0,63.1,1144,856,13,375,60,1691,1.58,23.4,numbeo
2023,Rochester,New York,city_medium,211000,3886,2837,46632,4005,48060,5456,7.25,0.97,4.1,63.3,1209,897,14,384,64,1771,1.6,23.1,numbeo
2024,Rochester,New York,city_medium,211000,3970,2898,47640,4167,50000,5660,7.25,0.953,2.9,62.2,1231,947,13,381,66,1804,1.61,23.9,numbeo
2010,Albany,New York,city_small,100000,3282,2396,39384,2820,33840,3622,7.25,1.164,1.6,54.3,674,541,8,247,30,1082,2.21,16.5,bls_modeled
2011,Albany,New York,city_small,100000,3477,2538,41724,2872,34460,3701,7.25,1.211,3.2,54.0,656,573,9,257,33,1151,2.21,16.5,bls_modeled
2012,Albany,New York,city_small,100000,3480,2540,41760,2896,34750,3769,7.25,1.202,2.1,54.6,715,555,9,264,32,1141,2.23,15.9,bls_modeled
2013,Albany,New York,city_small,100000,3566,2603,42792,2923,35080,3870,7.25,1.22,1.5,54.8,713,593,9,257,34,1176,2.21,16.6,bls_modeled
2014,Albany,New York,city_small,100000,3652,2666,43824,2962,35540,3936,7.25,1.233,1.6,54.6,690,602,9,263,33,1191,2.24,16.5,bls_modeled
2015,Albany,New York,city_small,100000,3510,2562,42120,3017,36200,4027,7.25,1.163,0.1,54.7,702,552,9,267,33,1145,2.24,15.7,bls_modeled
2016,Albany,New York,city_small,100000,3762,2746,45144,3087,37040,4136,7.25,1.219,1.3,55.3,761,603,9,271,33,1202,2.28,16.0,bls_modeled
2017,Albany,New York,city_small,100000,3871,2826,46452,3141,37690,4218,7.25,1.232,2.1,55.3,742,588,9,267,36,1188,2.38,15.2,bls_modeled
2018,Albany,New York,city_small,100000,3950,2884,47400,3220,38640,4330,7.25,1.227,2.4,55.2,736,631,10,287,35,1273,2.27,16.0,bls_modeled
2019,Albany,New York,city_small,100000,3958,2889,47496,3318,39810,4458,7.25,1.193,1.8,55.8,810,647,10,290,36,1295,2.23,16.3,bls_modeled
2020,Albany,New York,city_small,100000,4248,3101,50976,3496,41950,4692,7.25,1.215,1.2,55.7,789,614,10,287,36,1261,2.46,14.5,bls_modeled
2021,Albany,New York,city_small,100000,4783,3492,57396,3813,45760,4855,7.25,1.254,4.7,56.0,814,642,10,291,40,1303,2.68,13.4,bls_modeled
2022,Albany,New York,city_small,100000,4778,3488,57336,3859,46310,5158,7.25,1.238,8.0,57.0,915,712,12,334,44,1470,2.37,14.9,bls_modeled
2023,Albany,New York,city_small,100000,4838,3532,58056,4005,48060,5456,7.25,1.208,4.1,56.8,920,753,12,340,45,1524,2.32,15.6,bls_modeled
2024,Albany,New York,city_small,100000,5350,3906,64200,4167,50000,5660,7.25,1.284,2.9,56.9,903,745,12,339,45,1519,2.57,13.9,bls_modeled
2010,Syracuse,New York,city_small,148000,3336,2435,40032,2820,33840,3622,7.25,1.183,1.6,53.9,674,555,9,240,32,1111,2.19,16.6,bls_modeled
2011,Syracuse,New York,city_small,148000,3328,2429,39936,2872,34460,3701,7.25,1.159,3.2,53.6,714,522,9,260,33,1103,2.2,15.7,bls_modeled
2012,Syracuse,New York,city_small,148000,3335,2435,40020,2896,34750,3769,7.25,1.152,2.1,54.1,674,556,9,255,34,1135,2.15,16.7,bls_modeled
2013,Syracuse,New York,city_small,148000,3493,2550,41916,2923,35080,3870,7.25,1.195,1.5,54.1,702,576,9,264,33,1165,2.19,16.5,bls_modeled
2014,Syracuse,New York,city_small,148000,3603,2630,43236,2962,35540,3936,7.25,1.216,1.6,55.3,730,599,9,255,33,1180,2.23,16.6,bls_modeled
2015,Syracuse,New York,city_small,148000,3715,2712,44580,3017,36200,4027,7.25,1.231,0.1,54.3,706,602,9,264,33,1192,2.28,16.2,bls_modeled
2016,Syracuse,New York,city_small,148000,3637,2655,43644,3087,37040,4136,7.25,1.178,1.3,55.5,757,557,9,262,34,1148,2.31,15.3,bls_modeled
2017,Syracuse,New York,city_small,148000,3751,2738,45012,3141,37690,4218,7.25,1.194,2.1,55.0,766,613,9,266,36,1212,2.26,16.3,bls_modeled
2018,Syracuse,New York,city_small,148000,3786,2764,45432,3220,38640,4330,7.25,1.176,2.4,55.6,780,583,10,272,37,1212,2.28,15.4,bls_modeled
2019,Syracuse,New York,city_small,148000,4021,2935,48252,3318,39810,4458,7.25,1.212,1.8,56.1,811,642,10,292,36,1292,2.27,16.0,bls_modeled
2020,Syracuse,New York,city_small,148000,4376,3194,52512,3496,41950,4692,7.25,1.252,1.2,56.6,770,602,10,291,36,1253,2.55,13.8,bls_modeled
2021,Syracuse,New York,city_small,148000,4749,3467,56988,3813,45760,4855,7.25,1.245,4.7,56.8,801,648,10,314,40,1332,2.6,13.6,bls_modeled
2022,Syracuse,New York,city_small,148000,4725,3449,56700,3859,46310,5158,7.25,1.224,8.0,56.7,907,741,11,318,43,1462,2.36,15.7,bls_modeled
2023,Syracuse,New York,city_small,148000,5009,3657,60108,4005,48060,5456,7.25,1.251,4.1,57.0,921,727,12,349,42,1504,2.43,14.5,bls_modeled
2024,Syracuse,New York,city_small,148000,5186,3786,62232,4167,50000,5660,7.25,1.245,2.9,58.0,935,738,12,338,45,1511,2.51,14.2,bls_modeled
2010,Boston,Massachusetts,city_large,695000,3595,2624,43140,2820,33840,3622,7.25,1.275,1.6,90.0,1092,834,11,318,56,1532,1.71,23.2,numbeo
2011,Boston,Massachusetts,city_large,695000,3653,2667,43836,2872,34460,3701,7.25,1.272,3.2,88.9,1201,859,11,331,56,1574,1.69,23.5,numbeo
2012,Boston,Massachusetts,city_large,695000,3847,2808,46164,2896,34750,3769,7.25,1.328,2.1,89.5,1146,897,12,325,57,1629,1.72,23.3,numbeo
2013,Boston,Massachusetts,city_large,695000,3830,2796,45960,2923,35080,3870,7.25,1.31,1.5,89.7,1142,855,12,337,59,1603,1.74,22.3,numbeo
2014,Boston,Massachusetts,city_large,695000,3835,2800,46020,2962,35540,3936,7.25,1.295,1.6,89.7,1195,882,12,327,62,1624,1.72,23.0,numbeo
2015,Boston,Massachusetts,city_large,695000,3940,2876,47280,3017,36200,4027,7.25,1.306,0.1,90.9,1173,890,12,352,63,1658,1.73,22.6,numbeo
2016,Boston,Massachusetts,city_large,695000,4181,3052,50172,3087,37040,4136,7.25,1.354,1.3,91.5,1225,912,12,333,64,1664,1.83,21.8,numbeo
2017,Boston,Massachusetts,city_large,695000,4234,3091,50808,3141,37690,4218,7.25,1.348,2.1,90.7,1288,931,13,363,65,1736,1.78,22.0,numbeo
2018,Boston,Massachusetts,city_large,695000,4482,3272,53784,3220,38640,4330,7.25,1.392,2.4,91.7,1309,960,13,369,66,1775,1.84,21.4,numbeo
2019,Boston,Massachusetts,city_large,695000,4678,3415,56136,3318,39810,4458,7.25,1.41,1.8,91.6,1267,955,14,360,64,1781,1.92,20.4,numbeo
2020,Boston,Massachusetts,city_large,695000,4816,3516,57792,3496,41950,4692,7.25,1.378,1.2,92.6,1307,1010,13,379,65,1838,1.91,21.0,numbeo
2021,Boston,Massachusetts,city_large,695000,5458,3984,65496,3813,45760,4855,7.25,1.431,4.7,92.8,1399,1024,14,397,69,1900,2.1,18.8,numbeo
2022,Boston,Massachusetts,city_large,695000,5484,4003,65808,3859,46310,5158,7.25,1.421,8.0,92.6,1469,1130,15,414,76,2060,1.94,20.6,numbeo
2023,Boston,Massachusetts,city_large,695000,5831,4257,69972,4005,48060,5456,7.25,1.456,4.1,93.1,1497,1161,15,427,79,2113,2.01,19.9,numbeo
2024,Boston,Massachusetts,city_large,695000,5914,4317,70968,4167,50000,5660,7.25,1.419,2.9,93.6,1624,1154,17,437,83,2164,1.99,19.5,numbeo
2010,Worcester,Massachusetts,city_medium,185000,3548,2590,42576,2820,33840,3622,7.25,1.258,1.6,60.3,814,660,9,273,44,1261,2.05,18.6,bls_modeled
2011,Worcester,Massachusetts,city_medium,185000,3453,2521,41436,2872,34460,3701,7.25,1.202,3.2,60.6,820,707,10,285,46,1346,1.87,20.5,bls_modeled
2012,Worcester,Massachusetts,city_medium,185000,3644,2660,43728,2896,34750,3769,7.25,1.258,2.1,60.8,895,682,10,285,47,1324,2.01,18.7,bls_modeled
2013,Worcester,Massachusetts,city_medium,185000,3654,2667,43848,2923,35080,3870,7.25,1.25,1.5,61.0,855,683,11,286,50,1351,1.97,18.7,bls_modeled
2014,Worcester,Massachusetts,city_medium,185000,3857,2816,46284,2962,35540,3936,7.25,1.302,1.6,62.7,894,747,11,289,47,1416,1.99,19.4,bls_modeled
2015,Worcester,Massachusetts,city_medium,185000,3789,2766,45468,3017,36200,4027,7.25,1.256,0.1,63.0,933,749,10,306,50,1418,1.95,19.8,bls_modeled
2016,Worcester,Massachusetts,city_medium,185000,3966,2895,47592,3087,37040,4136,7.25,1.285,1.3,62.6,912,737,11,308,51,1431,2.02,18.6,bls_modeled
2017,Worcester,Massachusetts,city_medium,185000,4124,3011,49488,3141,37690,4218,7.25,1.313,2.1,63.2,942,773,11,310,49,1469,2.05,18.7,bls_modeled
2018,Worcester,Massachusetts,city_medium,185000,4294,3135,51528,3220,38640,4330,7.25,1.334,2.4,63.0,939,746,11,315,53,1454,2.16,17.4,bls_modeled
2019,Worcester,Massachusetts,city_medium,185000,4445,3245,53340,3318,39810,4458,7.25,1.34,1.8,64.3,1014,809,12,323,55,1549,2.09,18.2,bls_modeled
2020,Worcester,Massachusetts,city_medium,185000,4594,3354,55128,3496,41950,4692,7.25,1.314,1.2,64.4,1004,773,11,318,55,1490,2.25,16.8,bls_modeled
2021,Worcester,Massachusetts,city_medium,185000,5239,3824,62868,3813,45760,4855,7.25,1.374,4.7,65.4,1000,798,12,327,57,1552,2.46,15.2,bls_modeled
2022,Worcester,Massachusetts,city_medium,185000,5315,3880,63780,3859,46310,5158,7.25,1.377,8.0,65.3,1117,900,13,371,60,1731,2.24,16.9,bls_modeled
2023,Worcester,Massachusetts,city_medium,185000,5411,3950,64932,4005,48060,5456,7.25,1.351,4.1,65.9,1122,944,13,369,64,1783,2.22,17.4,bls_modeled
2024,Worcester,Massachusetts,city_medium,185000,5915,4318,70980,4167,50000,5660,7.25,1.419,2.9,65.2,1173,958,14,392,66,1846,2.34,16.2,bls_modeled
2010,Springfield,Massachusetts,city_medium,155000,3443,2513,41316,2820,33840,3622,7.25,1.221,1.6,59.7,807,669,10,276,45,1294,1.94,19.4,bls_modeled
2011,Springfield,Massachusetts,city_medium,155000,3518,2568,42216,2872,34460,3701,7.25,1.225,3.2,61.2,844,683,11,285,47,1343,1.91,19.4,bls_modeled
2012,Springfield,Massachusetts,city_medium,155000,3588,2619,43056,2896,34750,3769,7.25,1.239,2.1,60.9,871,727,11,287,47,1391,1.88,20.3,bls_modeled
2013,Springfield,Massachusetts,city_medium,155000,3606,2632,43272,2923,35080,3870,7.25,1.234,1.5,62.1,931,696,10,296,48,1352,1.95,19.3,bls_modeled
2014,Springfield,Massachusetts,city_medium,155000,3810,2781,45720,2962,35540,3936,7.25,1.286,1.6,61.5,876,705,11,289,50,1377,2.02,18.5,bls_modeled
2015,Springfield,Massachusetts,city_medium,155000,3971,2899,47652,3017,36200,4027,7.25,1.316,0.1,62.9,875,684,10,301,48,1346,2.15,17.2,bls_modeled
2016,Springfield,Massachusetts,city_medium,155000,4021,2935,48252,3087,37040,4136,7.25,1.303,1.3,62.8,896,693,11,307,51,1386,2.12,17.2,bls_modeled
2017,Springfield,Massachusetts,city_medium,155000,4072,2973,48864,3141,37690,4218,7.25,1.296,2.1,63.3,954,732,11,309,51,1429,2.08,18.0,bls_modeled
2018,Springfield,Massachusetts,city_medium,155000,4284,3127,51408,3220,38640,4330,7.25,1.33,2.4,63.1,936,757,11,304,52,1453,2.15,17.7,bls_modeled
2019,Springfield,Massachusetts,city_medium,155000,4438,3240,53256,3318,39810,4458,7.25,1.338,1.8,64.7,996,737,11,308,54,1441,2.25,16.6,bls_modeled
2020,Springfield,Massachusetts,city_medium,155000,4721,3446,56652,3496,41950,4692,7.25,1.35,1.2,64.2,993,811,12,324,54,1553,2.22,17.2,bls_modeled
2021,Springfield,Massachusetts,city_medium,155000,5271,3848,63252,3813,45760,4855,7.25,1.382,4.7,64.5,1067,802,12,344,56,1572,2.45,15.2,bls_modeled
2022,Springfield,Massachusetts,city_medium,155000,5157,3765,61884,3859,46310,5158,7.25,1.336,8.0,64.7,1129,926,13,358,61,1745,2.16,18.0,bls_modeled
2023,Springfield,Massachusetts,city_medium,155000,5421,3957,65052,4005,48060,5456,7.25,1.354,4.1,65.4,1195,927,14,383,63,1799,2.2,17.1,bls_modeled
